Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$22.80,-1.13,-4.722%,37624834.00,United States,,22217,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.7332,-0.0567,-7.178%,88386242.00,Canada,2015,2255135,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$35.03,0.18,0.516%,116962122.00,United States,1988,6713,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$12.17,0.71,6.195%,18813408.00,United States,,828748,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$29.10,-0.90,-3.00%,123450464.00,United States,,8152,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.66,-0.17,-1.925%,439510397.00,United States,,28405,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.01,-0.085,-4.057%,75759004.00,,2018,351079,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.26,-0.09,-3.83%,89699427.00,United States,,1184919,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$9.07,-0.13,-1.413%,23164073.00,United States,2014,30372,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.54,0.00,0.00%,48863823.00,United States,,411928,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.41,-0.06,-2.429%,55948960.00,China,,442454,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.71,0.02,1.183%,316444050.00,United States,,1840813,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.80,0.16,6.061%,16130800.00,United States,,783214,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$25.57,0.27,1.067%,176589923.00,United States,2020,134290,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$13.98,-0.39,-2.714%,189818273.00,Canada,,638475,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.59,-0.16,-2.783%,114910125.00,United States,,27400,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.40,-0.09,-6.04%,125396155.00,Canada,,3541438,Basic Industries,Precious Metals
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.06,0.19,2.414%,109507392.00,United States,,334932,Health Care,Major Pharmaceuticals
